2025-02-04 16:46:28 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-04 16:46:28 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-04 16:46:28 install libexpat1:amd64 <none> 2.5.0-1+deb12u1
2025-02-04 16:46:28 status half-installed libexpat1:amd64 2.5.0-1+deb12u1
2025-02-04 16:46:28 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2025-02-04 16:46:28 install liberror-perl:all <none> 0.17029-2
2025-02-04 16:46:28 status half-installed liberror-perl:all 0.17029-2
2025-02-04 16:46:28 status unpacked liberror-perl:all 0.17029-2
2025-02-04 16:46:28 install git-man:all <none> 1:2.39.5-0+deb12u2
2025-02-04 16:46:28 status half-installed git-man:all 1:2.39.5-0+deb12u2
2025-02-04 16:46:28 status unpacked git-man:all 1:2.39.5-0+deb12u2
2025-02-04 16:46:28 install git:amd64 <none> 1:2.39.5-0+deb12u2
2025-02-04 16:46:28 status half-installed git:amd64 1:2.39.5-0+deb12u2
2025-02-04 16:46:29 status unpacked git:amd64 1:2.39.5-0+deb12u2
2025-02-04 16:46:29 install linux-libc-dev-arm64-cross:all <none> 6.1.4-1cross1
2025-02-04 16:46:29 status half-installed linux-libc-dev-arm64-cross:all 6.1.4-1cross1
2025-02-04 16:46:29 status unpacked linux-libc-dev-arm64-cross:all 6.1.4-1cross1
2025-02-04 16:46:29 install libc6-dev-arm64-cross:all <none> 2.36-8cross1
2025-02-04 16:46:29 status half-installed libc6-dev-arm64-cross:all 2.36-8cross1
2025-02-04 16:46:29 status unpacked libc6-dev-arm64-cross:all 2.36-8cross1
2025-02-04 16:46:29 install libpkgconf3:amd64 <none> 1.8.1-1
2025-02-04 16:46:29 status half-installed libpkgconf3:amd64 1.8.1-1
2025-02-04 16:46:29 status unpacked libpkgconf3:amd64 1.8.1-1
2025-02-04 16:46:29 install make:amd64 <none> 4.3-4.1
2025-02-04 16:46:29 status half-installed make:amd64 4.3-4.1
2025-02-04 16:46:29 status unpacked make:amd64 4.3-4.1
2025-02-04 16:46:29 install pkgconf-bin:amd64 <none> 1.8.1-1
2025-02-04 16:46:29 status half-installed pkgconf-bin:amd64 1.8.1-1
2025-02-04 16:46:29 status unpacked pkgconf-bin:amd64 1.8.1-1
2025-02-04 16:46:29 install pkgconf:amd64 <none> 1.8.1-1
2025-02-04 16:46:29 status half-installed pkgconf:amd64 1.8.1-1
2025-02-04 16:46:29 status unpacked pkgconf:amd64 1.8.1-1
2025-02-04 16:46:29 install pkg-config:amd64 <none> 1.8.1-1
2025-02-04 16:46:29 status half-installed pkg-config:amd64 1.8.1-1
2025-02-04 16:46:29 status unpacked pkg-config:amd64 1.8.1-1
2025-02-04 16:46:29 startup packages configure
2025-02-04 16:46:29 configure libexpat1:amd64 2.5.0-1+deb12u1 <none>
2025-02-04 16:46:29 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2025-02-04 16:46:29 status half-configured libexpat1:amd64 2.5.0-1+deb12u1
2025-02-04 16:46:29 status installed libexpat1:amd64 2.5.0-1+deb12u1
